ACADEMIC YEAR,SEM,COURSE,ID NUMBER
2018,2,AB COMM,184189
2018,2,AB COMM,168225
2018,2,AB COMM,188020
2018,2,AB COMM,178994
2018,2,AB COMM,188615
2018,2,AB COMM,185630
2018,2,AB COMM,182376
2018,2,AB COMM,182876
2018,2,AB COMM,184319
2018,2,AB COMM,180161
2018,2,AB COMM,172878
2018,2,AB COMM,177768
2018,2,AB COMM,188393
2018,2,AB COMM,130205
2018,2,AB COMM,133833
2018,2,AB COMM,160988
2018,2,AB COMM,130351
2018,2,AB COMM,155729
2018,2,AB COMM,157475
2018,2,AB COMM,152068
2018,2,AB ENGLISH,183350
2018,2,AB ENGLISH,51057
2018,2,AB ENGLISH,164571
2018,2,AB ENGLISH,168863
2018,2,AB ENGLISH,182867
2018,2,AB ENGLISH,184865
2018,2,AB ENGLISH,152467
2018,2,AB ENGLISH,183887
2018,2,AB ENGLISH,186800
2018,2,AB ENGLISH,184014
2018,2,AB ENGLISH,186806
2018,2,AB ENGLISH,181679
2018,2,AB ENGLISH,159085
2018,2,AB ENGLISH,172039
2018,2,AB ENGLISH,153912
2018,2,AB ENGLISH,159319
2018,2,AB ENGLISH,163460
2018,2,AB ENGLISH,158406
2018,2,AB ENGLISH,156935
2018,2,AB ENGLISH,166842
2018,2,AB ENGLISH,130721
2018,2,AB ENGLISH,142556
2018,2,AB ENGLISH,110513
2018,2,AB ENGLISH,159527
2018,2,AB ENGLISH,140297
2018,2,AB ENGLISH,110646
2018,2,AB ENGLISH,158410
2018,2,AB ENGLISH,80007
2018,2,AB ENGLISH,153879
2018,2,AB ENGLISH,150308
2018,2,AB ENGLISH,154054
2018,2,AB ENGLISH,151758
2018,2,AB ENGLISH,154727
2018,2,AB ENGLISH,159127
2018,2,AB ENGLISH,130445
2018,2,AB ENGLISH,130142
2018,2,AB ENGLISH,156024
2018,2,AB ENGLISH,157547
2018,2,AB ENGLISH,159813
2018,2,AB ENGLISH,156497
2018,2,AB ENGLISH,168590
2018,2,AB POLSCI,186591
2018,2,AB POLSCI,186656
2018,2,AB POLSCI,183387
2018,2,AB POLSCI,187787
2018,2,AB POLSCI,171281
2018,2,AB POLSCI,183685
2018,2,AB POLSCI,182355
2018,2,AB POLSCI,171508
2018,2,AB POLSCI,170675
2018,2,AB POLSCI,174815
2018,2,AB POLSCI,171589
2018,2,AB POLSCI,172523
2018,2,AB POLSCI,164110
2018,2,AB POLSCI,171016
2018,2,AB POLSCI,173405
2018,2,AB POLSCI,171760
2018,2,AB POLSCI,178248
2018,2,AB POLSCI,173215
2018,2,AB POLSCI,174518
2018,2,AB POLSCI,178393
2018,2,AB POLSCI,174386
2018,2,AB POLSCI,174998
2018,2,AB POLSCI,120276
2018,2,AB POLSCI,155372
